power,time,turbine
7390.0,01-01-2020 00:01,turbine1
1592.0,01-01-2020 00:01,turbine2
5751.0,01-01-2020 00:01,turbine3
10000.0,01-01-2020 00:02,turbine1
5942.0,01-01-2020 00:02,turbine2
649.0,01-01-2020 00:02,turbine3
1116.0,01-01-2020 00:03,turbine1
9414.0,01-01-2020 00:03,turbine2
4224.0,01-01-2020 00:03,turbine3
3301.0,01-01-2020 00:04,turbine1
5291.0,01-01-2020 00:04,turbine2
5558.0,01-01-2020 00:04,turbine3
9086.0,01-01-2020 00:05,turbine1
3830.0,01-01-2020 00:05,turbine2
8564.0,01-01-2020 00:05,turbine3
1352.0,01-01-2020 00:06,turbine1
8963.0,01-01-2020 00:06,turbine2
5050.0,01-01-2020 00:06,turbine3
7748.0,01-01-2020 00:07,turbine1
8796.0,01-01-2020 00:07,turbine2
605.0,01-01-2020 00:07,turbine3
5209.0,01-01-2020 00:08,turbine1
5785.0,01-01-2020 00:08,turbine2
3045.0,01-01-2020 00:08,turbine3
9019.0,01-01-2020 00:09,turbine1
6855.0,01-01-2020 00:09,turbine2
1734.0,01-01-2020 00:09,turbine3
7140.0,01-01-2020 00:10,turbine1
6040.0,01-01-2020 00:10,turbine2
3220.0,01-01-2020 00:10,turbine3
7664.0,01-01-2020 00:11,turbine1
6378.0,01-01-2020 00:11,turbine2
7213.0,01-01-2020 00:11,turbine3
7902.0,01-01-2020 00:12,turbine1
5029.0,01-01-2020 00:12,turbine2
1391.0,01-01-2020 00:12,turbine3
7528.0,01-01-2020 00:13,turbine1
1948.0,01-01-2020 00:13,turbine2
9972.0,01-01-2020 00:13,turbine3
6707.0,01-01-2020 00:14,turbine1
6803.0,01-01-2020 00:14,turbine2
6085.0,01-01-2020 00:14,turbine3
746.0,01-01-2020 00:15,turbine1
657.0,01-01-2020 00:15,turbine2
1845.0,01-01-2020 00:15,turbine3
1193.0,01-01-2020 00:16,turbine1
7303.0,01-01-2020 00:16,turbine2
2246.0,01-01-2020 00:16,turbine3
3053.0,01-01-2020 00:17,turbine1
8264.0,01-01-2020 00:17,turbine2
6988.0,01-01-2020 00:17,turbine3
2606.0,01-01-2020 00:18,turbine1
9756.0,01-01-2020 00:18,turbine2
9307.0,01-01-2020 00:18,turbine3
2175.0,01-01-2020 00:19,turbine1
8397.0,01-01-2020 00:19,turbine2
5280.0,01-01-2020 00:19,turbine3
9646.0,01-01-2020 00:20,turbine1
823.0,01-01-2020 00:20,turbine2
5705.0,01-01-2020 00:20,turbine3
3075.0,01-01-2020 00:21,turbine1
9033.0,01-01-2020 00:21,turbine2
5997.0,01-01-2020 00:21,turbine3
8195.0,01-01-2020 00:22,turbine1
295.0,01-01-2020 00:22,turbine2
5818.0,01-01-2020 00:22,turbine3
1109.0,01-01-2020 00:23,turbine1
1660.0,01-01-2020 00:23,turbine2
6692.0,01-01-2020 00:23,turbine3
7640.0,01-01-2020 00:24,turbine1
4939.0,01-01-2020 00:24,turbine2
9389.0,01-01-2020 00:24,turbine3
540.0,01-01-2020 00:25,turbine1
1284.0,01-01-2020 00:25,turbine2
1475.0,01-01-2020 00:25,turbine3
70.0,01-01-2020 00:26,turbine1
6865.0,01-01-2020 00:26,turbine2
3388.0,01-01-2020 00:26,turbine3
4787.0,01-01-2020 00:27,turbine1
3784.0,01-01-2020 00:27,turbine2
119.0,01-01-2020 00:27,turbine3
5987.0,01-01-2020 00:28,turbine1
7117.0,01-01-2020 00:28,turbine2
1820.0,01-01-2020 00:28,turbine3
8551.0,01-01-2020 00:29,turbine1
6450.0,01-01-2020 00:29,turbine2
6758.0,01-01-2020 00:29,turbine3
7155.0,01-01-2020 00:30,turbine1
4148.0,01-01-2020 00:30,turbine2
1387.0,01-01-2020 00:30,turbine3
363.0,01-01-2020 00:31,turbine1
6594.0,01-01-2020 00:31,turbine2
9189.0,01-01-2020 00:31,turbine3
176.0,01-01-2020 00:32,turbine1
3981.0,01-01-2020 00:32,turbine2
6667.0,01-01-2020 00:32,turbine3
1704.0,01-01-2020 00:33,turbine1
921.0,01-01-2020 00:33,turbine2
4129.0,01-01-2020 00:33,turbine3
7958.0,01-01-2020 00:34,turbine1
486.0,01-01-2020 00:34,turbine2
3609.0,01-01-2020 00:34,turbine3
5321.0,01-01-2020 00:35,turbine1
1968.0,01-01-2020 00:35,turbine2
2984.0,01-01-2020 00:35,turbine3
5178.0,01-01-2020 00:36,turbine1
6276.0,01-01-2020 00:36,turbine2
3678.0,01-01-2020 00:36,turbine3
2199.0,01-01-2020 00:37,turbine1
3393.0,01-01-2020 00:37,turbine2
4596.0,01-01-2020 00:37,turbine3
3778.0,01-01-2020 00:38,turbine1
9486.0,01-01-2020 00:38,turbine2
1326.0,01-01-2020 00:38,turbine3
9946.0,01-01-2020 00:39,turbine1
2079.0,01-01-2020 00:39,turbine2
3707.0,01-01-2020 00:39,turbine3
2757.0,01-01-2020 00:40,turbine1
3448.0,01-01-2020 00:40,turbine2
573.0,01-01-2020 00:40,turbine3
8957.0,01-01-2020 00:41,turbine1
6999.0,01-01-2020 00:41,turbine2
4725.0,01-01-2020 00:41,turbine3
4176.0,01-01-2020 00:42,turbine1
8673.0,01-01-2020 00:42,turbine2
354.0,01-01-2020 00:42,turbine3
875.0,01-01-2020 00:43,turbine1
5881.0,01-01-2020 00:43,turbine2
2552.0,01-01-2020 00:43,turbine3
7735.0,01-01-2020 00:44,turbine1
4530.0,01-01-2020 00:44,turbine2
7432.0,01-01-2020 00:44,turbine3
5867.0,01-01-2020 00:45,turbine1
8911.0,01-01-2020 00:45,turbine2
479.0,01-01-2020 00:45,turbine3
2540.0,01-01-2020 00:46,turbine1
2658.0,01-01-2020 00:46,turbine2
4138.0,01-01-2020 00:46,turbine3
7615.0,01-01-2020 00:47,turbine1
6506.0,01-01-2020 00:47,turbine2
8495.0,01-01-2020 00:47,turbine3
8105.0,01-01-2020 00:48,turbine1
6846.0,01-01-2020 00:48,turbine2
2547.0,01-01-2020 00:48,turbine3
2119.0,01-01-2020 00:49,turbine1
6708.0,01-01-2020 00:49,turbine2
9147.0,01-01-2020 00:49,turbine3
8901.0,01-01-2020 00:50,turbine1
3835.0,01-01-2020 00:50,turbine2
693.0,01-01-2020 00:50,turbine3
922.0,01-01-2020 00:51,turbine1
2573.0,01-01-2020 00:51,turbine2
9458.0,01-01-2020 00:51,turbine3
4476.0,01-01-2020 00:52,turbine1
1983.0,01-01-2020 00:52,turbine2
9865.0,01-01-2020 00:52,turbine3
5972.0,01-01-2020 00:53,turbine1
2584.0,01-01-2020 00:53,turbine2
1706.0,01-01-2020 00:53,turbine3
4092.0,01-01-2020 00:54,turbine1
4480.0,01-01-2020 00:54,turbine2
6986.0,01-01-2020 00:54,turbine3
5285.0,01-01-2020 00:55,turbine1
3811.0,01-01-2020 00:55,turbine2
7296.0,01-01-2020 00:55,turbine3
7733.0,01-01-2020 00:56,turbine1
5971.0,01-01-2020 00:56,turbine2
1042.0,01-01-2020 00:56,turbine3
3334.0,01-01-2020 00:57,turbine1
3271.0,01-01-2020 00:57,turbine2
3291.0,01-01-2020 00:57,turbine3
553.0,01-01-2020 00:58,turbine1
1982.0,01-01-2020 00:58,turbine2
